__Blurryface__,普通用户,广东 深圳,疫情让蛋糕实现了咸蛋黄自由 ?,收藏转发评论 3赞1,02月01日 22:58iPhone客户端
西安微记录,普通用户,陕西 西安,【甘肃省兰州市发布通知】兰州市域范围内各级各类单位要切实履行防控疫情的主体责任，一律实行属地网格化管理，按照辖区街道、社区要求做好以下工作：有单位集体食堂的，原则上2月9日前不开放供应，提倡和鼓励干部职工自带食品、餐具用餐，确需开放供应的严格实行分餐制。在2020年2月9日24时前，本市行政区域内保障城市运转（供排水、供电、油气、通讯、市政、市内公共交通等行业）、疫情防控（药品、防护用品以及医疗器械生产、运输、销售等行业）、群众基本生活必需（超市卖场、食品生产和供应、物流配送、物业等行业），以及其他涉及重要国计民生的相关企业应当安排职工正常到单位上班，并严格做好单位内部疫情防控工作。对确因工作需要于2020年2月9日24时前正常到单位上班的职工，各企业应当对其加强体温监测和健康防护，及时报告相关信息，做到防护工作全员覆盖。各行业主管部门要加强对企业防疫工作的指导和监督，做到守土有责、守土担责、守土尽责。在2020年2月9日24时前，其他企业具备条件的，应当安排职工通过电话、网络等灵活方式在家上班完成相应工作；不具备条件安排职工在家上班的企业，安排职工工作应当采取错时、弹性等灵活计算工作时间的方式，不造成人员聚集。（甘肃兰州发布） 收起全文d,收藏转发评论赞,02月01日 22:58海信智能手机
西部热点网,蓝V,None,#头条新闻##新型肺炎疫情防控# 【#中国红十字总会派工作组赴武汉#】2月1日，中国红十字会党组书记、常务副会长梁惠玲率领总会工作组赶赴湖北武汉，指导、督促湖北省红十字会、武汉市红十字会做好新型冠状病毒感染的肺炎疫情防控工作，确保捐赠款物使用规范高效、公开透明，主动接受社会监督，为奋战在疫情防控第一线的医护人员提供有力支援，助力打赢疫情防控阻击战。O中国红十字会总会派出工作组赴湖北武汉 收起全文d,收藏转发评论赞,02月01日 22:58HUAWEI Mate 20 Pro
西部热点网,蓝V,None,#头条新闻# 【湖南邵阳发生高致病性禽流感疫情 已扑杀家禽1.7万只】  经国家禽流感参考实验室确诊，邵阳市双清区某养殖户饲养的肉鸡发生H5N1亚型高致病性禽流感疫情。养殖户存栏肉鸡7850只，发病死亡4500只。疫情发生后，当地按照有关预案和防治技术规范要求切实做好疫情处置工作，已扑杀家禽17828只，全部病死和扑杀家禽均已无害化处理。 O湖南邵阳发生高致病性禽流感疫情 已扑杀家禽1.7万只 收起全文d,收藏转发评论赞,02月01日 22:57HUAWEI Mate 20 Pro
西东h,普通用户,其他,希望疫情快点过去?????? 2淄博 ?,收藏转发评论赞1,02月01日 22:59
西铁西安北站,蓝V,None,#西安北车站出行信息##武汉加油# 温馨提示：为积极配合西安市疫情防控部门对出站旅客疫情筛查工作，西安北车站配足人员力量，加大客流疏导，并提示广大旅客，出站时请提前准备好身份证件，以便节约排查时间，提升通过效率。@西铁资讯 2西安·万科大明宫 ?,收藏转发 6评论 7赞4,02月01日 22:58Smartisan
西西福厮,黄V,北京,"目前看，这个疫情背后隐藏着一个巨大的各自为战，山头林立，都想露脸，但无人负责的局面。一个屋子里的大象是:到现在为止，没有一个中国机构站出来给这个病毒正名。""新冠""也罢，""nCov""也罢，没有一个机构站出来说""就叫它了""，任由""武汉肺炎""被外国媒体悄悄的变成了事实。 ?",收藏转发 78评论 41赞129,02月01日 22:53小米MIX2S 全面屏
西夏农水局,蓝V,None,#战胜新型冠状病毒# 数字勾勒出的宁夏防控疫情别样“作战图”O数字勾勒出的宁夏防控疫情别样“作战图” ?,收藏转发评论赞,02月01日 22:59红米Redmi
西夏区发改局,蓝V,None,#战胜新型冠状病毒#咸辉随机暗访检查：保持临战状态 守好疫情防控“安全门”O咸辉随机暗访检查：保持临战状态 守好疫情防控“安全门” ?,收藏转发评论赞,02月01日 22:58小米8青春版 潮流旗舰
西夏区信访局,蓝V,None,宁夏疫情防控工作精准施策 地毯式网格化确保无死角O网页链接 ?,收藏转发评论赞,02月01日 22:58vivo AI智慧拍照X21
西夏区信访局,蓝V,None,数字勾勒出的宁夏防控疫情别样“作战图”O数字勾勒出的宁夏防控疫情别样“作战图” ?,收藏转发评论赞,02月01日 22:57vivo AI智慧拍照X21
西夏朔方路街道办,蓝V,None,#战胜新型冠状病毒# 『数字勾勒出的宁夏防控疫情别样“作战图”_央广网』O数字勾勒出的宁夏防控疫情别样“作战图” ?,收藏转发评论赞,02月01日 22:58vivo智能手机
西夏阳光政务,蓝V,None,#战胜新型冠状病毒# 【宁夏疫情防控工作精准施策 地毯式网格化确保无死角】O网页链接 ?,收藏转发 1评论赞,02月01日 22:59荣耀 9X
西夏阳光政务,蓝V,None,#战胜新型冠状病毒# 【数字勾勒出的宁夏防控疫情别样“作战图”】O数字勾勒出的宁夏防控疫情别样“作战图” ?,收藏转发 1评论赞,02月01日 22:58荣耀 9X
西咸新区秦汉新城,蓝V,None,#联防联控 西安在行动##西安市胸科医院推出网络诊断、快递送药服务# 新冠肺炎疫情牵动着全市人民的心。日前，西安市胸科医院通过17个医患沟通群和智慧好医院互联网信息平台推出网络诊断、快递送药服务。患者24小时随时可以线上咨询，在家里就能收到所需药品，真真正正实现了让患者足不出户就能享有及时专业的医疗服务。据了解，患者通过微信或者智慧好医院平台和主管医生沟通后，由医生开具处方单，患者完成缴费后，留下配送信息，医生将处方单和患者配送信息交至门诊药房，快递员到药房揽件，将药品送给患者。西安市胸科医院胸外科主任丁超介绍说，特殊时期，给病患看病不仅要及时有效，还要安全方便。平台推出后，院内所有医生都已加入，24小时实时在线为患者答疑解惑。目前，西安市胸科医院已作为定点医院收治新型冠状病毒肺炎确诊及疑似病人。以前在院的部分病情较轻的结核病患，我们就通过远程指导，让患者在家吃药治疗的方法，尽可能保证患者安全，提供高质量的医疗服务。对医院有就诊史的老旧病患，这个方法非常的便捷有效。不建议无病史的新病人到平台咨询，会出现因病情描述不具体不准确导致的误诊。当前疫情蔓延，许多患者居家隔离。西安市胸科医院院长李向前表示，推出网络诊断、快递送药服务就是为了保证患者治疗的连续性，这样既是对患者的治疗负责，也减少了群众到医院就诊产生交叉感染的机率，更大程度地方便和保护了患者。（西安报业全媒体记者 王江黎） 收起全文d,收藏转发评论赞,02月01日 22:17Android
希望中国公平与正义,普通用户,山西 太原,【武汉市公安局训诫讲真话武汉市中心医院的医生李文亮！！！】公益基金会奖励被训诫医生10万元 他敢于说出真相公益基金会奖励被训诫医生10万元 他敢于说出真相被训诫的武汉医生李文亮：我在重症病房 没被吊销执照　　被训诫武汉医生李文亮被确诊新冠肺炎　　原标题：公益基金会奖励被训诫医生李文亮10万元：他是敢于说出真相的人　　来源：上游新闻　　“他是一个对工作负责、真实而敢于说出事情真相的人。他的行为客观上让更多人对病毒有了提前的防范。”这是北京感恩公益基金会对武汉医生李文亮的评价。　　1月31日，北京感恩公益基金会“守护者后盾行动”项目拨付第一笔10万元“特别贡献支持”款项，奖励给了武汉市中心医院的医生李文亮。▲1月31日，北京感恩公益基金会奖励武汉医生李文亮10万元。受访者供图▲1月31日，北京感恩公益基金会奖励武汉医生李文亮10万元。受访者供图　　该基金会奖励李文亮10万元的理由是，当新型肺炎这一特征尚不明确时，李文亮试图将工作中获知的危险告诉同学，却不想广泛传播遇到了“训诫”。　　上游新闻此前刊发的《讲疫情真话被训诫的武汉医生李文亮：想尽快回到抗疫一线》报道显示，武汉市公安局武昌分局中南路街派出所1月3日出具的训诫书载明：2019年12月30日，李文亮在微信群“武汉大学临床04级”，发表有关华南水果海鲜市场确诊了7例SARS的不属实言论。　　此后，8名疫情“造谣者”备受舆论关注，作为第“8+n”个“造谣者”的医生李文亮因身份透露而被聚焦，同时公众还关注到了他的病情。2月1日，李文亮确诊患上新冠肺炎。　▲武汉市中心医院眼科医生李文亮。图片来自网络　▲武汉市中心医院眼科医生李文亮。图片来自网络　　2月1日，北京感恩公益基金会出具的银行转账记录显示，1月31日下午6时11分，北京感恩公益基金会给李文亮的账户拨付了10万元，用途为“守护者后盾行动——特别贡献支持”。　　北京感恩公益基金会理事长周建告诉上游新闻记者，“守护者后盾行动”是为所有因公参加抗击2020年“新型肺炎”的工作人员而设置（包括不限于医务人员、检疫人员、媒体记者等）。如果在救援中致病、致残甚至不幸殉职，提供无偿的人道援助。其中包括生活补助、治疗支持、教育支持、赡养支持及特别贡献支持等。　　周建说，目前，“守护者后盾行动”已经找到15位符合项目资助条件的医生、护士、检疫人员等，正在按照基金会资助程序进行。责任编辑：刘万里 SF014 收起全文d,收藏转发 16评论 2赞2,02月01日 22:57360安全浏览器
惜Philomena,普通用户,河北 石家庄,#湖南禽流感#晚上刚刚看过流感，同样也是禽流感，看见热搜吓得赶紧点了进去，处理及时就好，让公众心安，若是此次疫情也能早早重视处理，应当会少些不安和恐惧吧。 2石家庄 ?,收藏转发评论赞,02月01日 22:59小米8周年旗舰手机
溪安6277648235,普通用户,贵州 贵阳,国家卫生健康委就新型冠状病毒感染的肺炎疫情防控工作中孕产妇、婴幼儿和托育机构的健康防护情况举行发布会 O国家卫生健康委就新型冠状病毒感染的肺炎疫情防控工作中孕产妇、婴幼儿和托育机构的健康防护情况举行发布会 ?,收藏转发评论赞,02月01日 22:57学习强国客户端
嘻宝成长录,普通用户,其他,图一：今晚的夜色，如此温柔～因为这场疫情，让我们可以静下来陪伴家人，慢下来感受生活。图二三：嘻宝和妈妈最爱的小鸡球球系列绘本。今天读的是《小鸡球球，生日快乐》。中间我们一起给小鸡球球唱了生日快乐歌。这让我想起前天邻居小盆友过生日，嘻宝带了礼物去妹妹家，也给妹妹唱了一首祝你生日快乐。小小的你已经是一副暖心小姐姐的模样，妈妈为你开心。读到最后一页，小鸡球球的爸爸妈妈跟他说了图中的话。我也轻轻对嘻宝说：谢谢你，宝贝，谢谢你来到爸爸妈妈身边。我们都爱你。听完嘻宝害羞地投进了我怀里。我们这一代孩子可能仍然羞于对父母表达爱。而作为这一代的父母，我们要敢于对孩子说出爱。所以，嘻宝，妈妈每天都会对你说：妈妈爱你。这份爱，在嘴上，也在心里。 收起全文d,收藏转发评论赞1,02月01日 22:58iPhone XS Max
夏天喜欢Sumner,普通用户,内蒙古 赤峰,分享网易新闻《美国首例新冠患者用的“神药”究竟是啥？中国患者能用上吗？》O美国首例新冠患者用的“神药”究竟是啥？中国患者能用上吗？ 来自@网易新闻客户端 #网易新闻#  ?,收藏转发评论赞,02月01日 22:11网易新闻客户端
鲜城西安,蓝V,None,?? #致敬医者仁心#??2月1日，西安市第八医院输血科检验师王亮穿着防护服、隔着护栏与妻子完成了隔离工作前的一次特殊“见面”??????????疫情面前，大爱为先！??这，就是爱情最美的样子！#2020发现城市更多美# ?,收藏转发评论 2赞13,02月01日 22:59iPhone客户端
鲜肉小豆包,普通用户,河南,防治疫情我唯唯诺诺，撤热搜我重拳出击 ?,收藏转发评论赞,02月01日 22:56HUAWEI Mate 10 Pro
咸咸咸咸咸蛋黄鱼皮,普通用户,海外,跟自己说别关注新冠了，这玩意炸开一个厕所的口子，硬挖下去，除了屎还是屎 ?,收藏转发评论赞,02月01日 22:59iPhone客户端
湘潭陈贵,黄V,湖南 湘潭,众志成城抗击新冠，防控疫情，莲城清风义工在行动！        2月1日下午，我们湘潭市莲城清风义工协会自筹资金1万多元，购买了1吨多84消毒液，然后由协会理事会部分成员分头行动，将这42桶84消毒液送到抗击疫情最前线。        分别送给下图这18家单位、... ?,收藏转发评论赞1,02月01日 22:50同步圈APP
襄阳交通广播,蓝V,None,#众志成城 抗击疫情# 【非常时期，这些科学防疫知识您弄懂了吗？】#湖北加油武汉挺住#共克时艰，从我做起。点击下图↓↓↓学习科学防疫小常识。（识别二维码出现将要访问的网址，复制到微信客户端打开） ???by@湖北之声 ???,收藏转发评论赞,02月01日 22:58iPhone客户端
襄阳情报员,黄V,湖北 襄阳,【关于对襄州区部分道路实行交通管制的通告】为全力做好襄州区新冠肺炎疫情防控工作，有效切断病毒传播途径，确保人民群众生命安全和身体健康。根据市新型冠状病毒感染的肺炎防控指挥部有关要求，现通告如下：自2020年2月1日24时起，对清河一桥、清河二桥、清河三桥实行交通管制，除经许可的保供运输车、公交车、公务车外，其他车辆非必要禁止进出襄州区。确因工作需要通行的车辆，凭本单位出具的“通行函”出入。襄阳市襄州区新型冠状病毒感染的肺炎防控指挥部办公室2020年2月1日#疫情联防联控实时播报# 收起全文d,收藏转发评论 1赞1,02月01日 22:57襄阳超话
襄阳日报,蓝V,None,#众志成城，齐心协力##襄阳战疫# 【回应网友关注】我的家人有点不舒服，又怕去医院了会交叉感染。请问我市有没有不出门就能看病的“在线问诊”？目前，我市已有市中心医院、市第一人民医院、市中医医院、市妇幼保健院等4家医院，相继开通了新冠肺炎“发热门诊”免费线上咨询或电话咨询，市中心医院、市一医院、市妇幼保健院有14个网络门诊室，可供咨询发热相关问题，每个诊室均有1名专家坐诊；市中医医院有2名资深中医师进行解答。4家医院首批分别开通了16名专家线上或电话答疑的入口，未来将视情况增加专家人数，满足市民需要。市民若出现发热等不适症状，均可以在手机或电脑上及时找这4家医院专家咨询。4家医院线上咨询或电话咨询有五个入口：1.关注“襄阳市中心医院”“襄阳市第一人民医院”“襄阳市妇幼保健院”微信公众号，在就医服务一栏中有“发热咨询”入口；2.在支付宝中关注“襄阳市中心医院”和“襄阳市第一人民医院”生活号，首页最上方即有“发热咨询”入口；3.通过“微脉”APP，进入市中心医院、市第一人民医院和市妇幼保健院的“发热咨询”专线页面；4.市中医医院电话咨询热线是0710-3447234；5.市中医医院QQ咨询号是2521663697。此外，2月1日市疾控中心牵头联合阿里巴巴集团启动的“襄阳市新型冠状病毒感染肺炎联防联控平台”正式上线运行。该平台主要有三项功能，分别是：市民居家申报疫情、发布防控信息与防护知识、网上智能问诊与人工服务。在“网上智能问诊”与“人工服务”模块中，市民提出问题后，系统会通过运用大数据智能推送就医诊疗建议、防控防护知识等方面内容，及时回复群众咨询。同时，该平台还在抓紧搭建“医学隔离观察”功能模块，将为隔离观察人员提供有针对性的服务。该平台具体操作路径：打开“支付宝”→进入“城市服务”→选择城市为“襄阳”→点击进入“襄阳市新冠肺炎联防联控平台”。襄阳市新型冠状病毒感染的肺炎防控指挥部办公室（宣）2020年2月1日 收起全文d,收藏转发 8评论 9赞28,02月01日 17:28iPhone 8 Plus
-翔是飞翔的翔-,普通用户,其他,studyaccount 二月希望可以好一点#嘿出来读外刊啦# 1??2??今天的图绝对不被吞！@河野悦子鸭 今天的文章是讲新冠病毒??的 看来外媒真的直接叫Wuhan virus了?IELTS的听力做晕我嘞果然是太久没有听听力了 ?,收藏转发评论 6赞8,02月01日 22:25studyaccount超话
想吃猫的鱼xety,普通用户,广东 深圳,#最新疫情地图# ?,收藏转发评论赞1,02月01日 22:57iPhone客户端
想当大仙得小胖纸,普通用户,河北 沧州,老李原本在家好好的，因第七次出门买口罩，感染了新冠肺炎，狠狠地扇了自己一巴掌 ?,收藏转发评论 1赞1,02月01日 22:11前置双摄vivo X9
想飞的鸟儿1085141167,普通用户,其他,商务部：进一步做好疫情防控市场保障工作 O网页链接 ?,收藏转发评论赞,02月01日 22:58学习强国客户端
想要两颗西柚呀丶,普通用户,海外 其他,??  20WL坚持每天给??听音乐 讲故事，小家伙偶尔会踢踏两下，满满的满足感啊。等疫情不太紧张了再去做检查，想看看你长大一丢丢的样子 ?,收藏转发评论 2赞3,02月01日 22:57管我什麼iPhone客户端
想有学上的崔某,普通用户,其他,新冠时期的友情 ?,收藏转发评论 2赞2,02月01日 22:39iPhone客户端
向南200006,普通用户,内蒙古,#抗击疫情 希望同行# 为爱前行，我一直在路上。我在“抗击疫情-希望工程特别行动”项目捐款成功！您每捐款1元，新浪同时配捐1元！ @中国青少年发展基金会http://t.cn/A6Pxmou3 ?,收藏转发评论赞,02月01日 22:58微公益
象山警方在线,蓝V,None,#抗击疫情公安在行动# 聚焦丨这场战“疫”里的特殊“警”像你看过多少？O聚焦丨这场战“疫”里的特殊“警”像你看过多少？ ?,收藏转发评论赞,02月01日 22:58专业版微博
肖肖肖21,普通用户,陕西 西安,虽然现在是新冠肺炎时期，但是也没有爱情 ?,收藏转发评论赞1,02月01日 22:25
小fan呐_,普通用户,山东 青岛,我希望如约而至的不只是春天，还有疫情过后平安的你。 ?,收藏转发评论赞1,02月01日 22:58vivo X23 AI非凡摄影
小白说军事,普通用户,浙江 杭州,#新浪看点# 特效药在国外诞生？看看美国首例新冠患者恢复详细过程（附图）O特效药在国外诞生？看看美国首例新冠患者恢复详细过程（附图） ?,收藏转发评论赞,02月01日 22:57手机新浪网
小编的那点事,普通用户,其他,深圳确诊患者粪便检测出新冠病毒:粪便中或存活病毒这就有些恐怖了…… ?,收藏转发 6评论 5赞4,02月01日 22:43iPhone 7(东北银)
小怪兽baby-,普通用户,江苏 苏州,有些人现在偷口罩卖口罩贪污救灾款是为了赚钱买棺材吗？我给你钱买棺材你让我去上学好不好？？？是猪肉不香吗，牛肉鸡肉还是牛蛙不好吃？？？吃蝙蝠的人到底自己感染新冠肺炎了吗？？？雷神山还需要人吗，我不念了，我来盖楼了 ?,收藏转发评论赞,02月01日 22:28HUAWEI Mate 9 Pro
小鸡君,普通用户,其他,一直没好意思跟你说，实际上吧，研究表明了，和我玩《王者荣耀》能预防新冠病毒，玩《吃鸡》能抑制新冠病毒，《打电话聊天》能杀死新冠病毒，很多人试过了，真的管用 2北京·玺萌鹏苑 ?,收藏转发评论赞,02月01日 22:23iPhone 7 Plus
小利说事,黄V,湖南 衡阳,#美首例新冠患者用伦地西韦有效#这一个案没有什么普遍性，患者服药时的体内病毒量已经比开始几天减少了太多了，虽然症状严重了，但是已经到了自愈阶段，说白了即使不用药扛过去也就好了，用药只不过加速了这个过程。并且这个药是治疗埃博拉病毒的，国内差不多成分的药也有，全球只有中美当时研制出来了，对于新型冠状病毒来说根本达不到特效药。 收起全文d,收藏转发 2评论赞,02月01日 22:59华为Android
小麻雀hhh,普通用户,湖北 武汉,#抗新冠肺炎# 每天自我隔离中，已不记得多久没有见娃了家里传来娃坐在窗边眺望的照片 ?,收藏转发评论赞1,02月01日 21:58iPhone客户端
小麻团的妈咪,普通用户,江苏 镇江,今儿，2月伊始，年初八大街上依旧冷冷清清，少了昔日的繁华，还有弥漫的烧烤炸串味道，不习惯年，就是在这没有硝烟的战斗中结束了，医疗行业，从来都不存在真正意义上的休息和假期，突如其来的新冠病毒依旧挺猖狂，我们做好了防护，工作帽戴得痘痘在额头上疯狂生长，口罩机会成了在外头的唯一必备工具，大大的太阳下，迸发出了对生命的渴望，希望天使都能洁白无暇。不管怎么，希望这场仗早点结束，谁还没有家庭，谁还不是子女父母，谁都希望早点回家。 收起全文d,收藏转发评论赞,02月01日 21:08iPhone客户端
小萌希奥纸尿裤南郑代理,普通用户,其他,这场“新冠”疫情来袭，有的人不想出门，却必须出门，有的人不必出门，却非要出门！你所谓无聊的家，却是医生、警察和一线抗疫人员想回却回不去的地方！请不要让我们拼命的付出功亏一篑，请好好呆在家！ 2汉中 ?,收藏转发评论赞,02月01日 22:39小米8 SE
小梦说事儿,黄V,河北,媒体身边事 【#疫情期间停止影视剧拍摄# 待疫情防控解除后恢复】#网络身边事儿# 1月31日，中国广播电视社会组织联合会电视制片委员会、中国广播电视社会组织联合会演员委员会联合发布了《关于新冠疫情期间停止影视剧拍摄工作的通知》。 ?,收藏转发评论赞1,02月01日 22:13媒体身边事超话
小米豆豆1234,普通用户,其他,新冠状病毒临研究：吉列德公司的Remdesivir在中国的随机、双盲、对照III期临床研究迅速启动，总样本量270例，入组轻、中度新冠肺炎患者，由中日友好医院曹彬教授牵头，试验预期于后天（2月3日）开始，4月27日结束。请转给需要帮助的患者。非常感谢！ 2赤水市 ?,收藏转发评论赞,02月01日 22:51iPhone客户端
小脑袋v,黄V,甘肃,#新年新出发#新的时代，新的征程，新的梦想 正月初八了，很多人都已经踏上了返工的路程，在今年这样一个特殊战“疫”的背景下，希望大家都保护好自己，戴好口罩，少在外吃饭，勤洗手，看起来这次跟新冠病毒的战斗将会是一场漫长的持久战，所以一定要有充分的思想准备。我们的开学时间也推迟到3月1号以后了，但愿那个时候一切都回归正常，加油??！#春节摄影大赛# O绿洲 收起全文d,收藏转发评论赞,02月01日 22:19绿洲APP
小啤Derek,黄V,广东,#深圳确诊患者粪便检测出新冠病毒# 这病毒生命力可真难顽强 ?,收藏转发 1评论 3赞7,02月01日 22:47一年后不卡Android
小速盒子,普通用户,上海 黄浦区,有个想法：中医有没有可能解决掉新冠 ?,收藏转发评论赞,02月01日 22:55微博 weibo.com
小兔子的每日碎碎念念,普通用户,其他,病毒病毒快快走吧疫情疫情快快结束吧我想喝奶茶啦想喝益禾堂的奶绿加双份珍珠想吃加很多辣椒的桂林米粉想吃校门口阿姨的酸辣粉和鸭血汤想下去对面的公园散散步想看一看公园里的小花小草想见一见许久没见的人还想吃一顿热气腾腾的火锅~ ?,收藏转发评论赞,02月01日 22:58Android
小韦202002,普通用户,河南,睡得黑白颠倒，每天闲散，不怕在家憋的慌，就怕适应了现在的生活，疫情结束了不想上班咋办 2濮阳·濮阳县 ?,收藏转发评论赞1,02月01日 22:59vivo Z5全面实力派
小蜗牛与葡萄树,普通用户,广东,一场疫情暴露太多东西了，要彻彻底底的整顿才是。 ?,收藏转发评论赞,02月01日 22:57华为手机
小屋藏夏,普通用户,海外 其他,什么都不发挺好的，现在都是疫情，而且群情激愤的时候，怕他们发了要被骂占用公共资源 ?,收藏转发评论赞19,02月01日 22:57不站队的Android
小小阿帮,普通用户,其他,最近各种媒体上都是关于祖国抵抗疫情的报道！特别是一些海外的同胞们，他们用实际行动证明了祖国有我，我心有祖国！我也看到了全国上下团结一致、奋力前行的对抗疫情！武汉加油！中国加油！胜利属于我们伟大的祖国！ 2朔州 ?,收藏转发评论赞,02月01日 22:57HUAWEI P30
小小明明xxxx,普通用户,江西 南昌,国家卫生健康委就新型冠状病毒感染的肺炎疫情防控工作中重点人群和社区组织的健康防护情况举行发布会 O网页链接 ?,收藏转发评论赞,02月01日 22:57学习强国客户端
小小明明xxxx,普通用户,江西 南昌,重磅！北京市政府发文：疫情防控期间，各企业灵活安排工作 O重磅！北京市政府发文：疫情防控期间，各企业灵活安排工作 ?,收藏转发评论赞,02月01日 22:57学习强国客户端
小小小柚子stefanie,黄V,上海,#财新周刊#【封面报道|37位记者四万字全景调查：新冠病毒何以至此？】准备上街转转买几本纸质版。  O封面报道|新冠病毒何以至此（来自财新客户端） ?,收藏转发 2评论赞,02月01日 22:44八十八寸屏Android
小忻情,普通用户,贵州 贵阳,这个是末日大片还是丧尸围城？一心希望一切早点好转吧#新冠肺炎进入第二波流行上升期# 2贵阳 ?,收藏转发评论赞,02月01日 22:05iPhone客户端
小星种草库,普通用户,其他,2020太难了祸不单行新冠还没结束，禽流感又开始了好好呆在家里就是最大的贡献希望一切赶快好起来，想出门！想喝奶茶！想吃火锅！想吃烤肉！#最新疫情地图##湖南发生一起禽流感疫情##为中国加油# ?,收藏转发评论赞1,02月01日 22:43
小休止,普通用户,四川 自贡,不考虑外面的疫情 这小日子很舒服啊 天天玩 ?,收藏转发评论 1赞,02月01日 22:59华为MateRS保时捷设计
小芋和大鱼,普通用户,其他,#湖南发生一起禽流感疫情#太难了 ?,收藏转发评论赞,02月01日 22:59OPPO R15 梦镜版
小媛Yuan同学,普通用户,河北 秦皇岛,#武汉加油##加油中国加油武汉# 小外甥把想说的话画进了画里武汉加油，愿疫情快点散去 ?,收藏转发评论赞1,02月01日 22:57iPhone客户端
小郑少吃点吧,普通用户,其他,疫情结束最想见的人#疫情过后你最想见的人# 2上饶 ?,收藏转发评论赞,02月01日 22:58iPhone客户端
暁五wu,普通用户,江西 鹰潭,2020年真不是好开头，肆虐的疫情搞得人心惶惶，多少家庭破碎，又有多少勇敢的医护人员冲在前线与疫情搏斗，2003年的非典都没这么恐慌过（也不知是当时年少无谓否）如今的新冠肺炎病毒，确诊人员的数字每日都上增。无言以表，只能祈祷那些一线的医护人员能平安、凯旋归来。向你们致敬！！！2020年农历正月初八晚22：50鹰潭恒大绿洲 2鹰潭·恒大绿洲 收起全文d,收藏转发 6评论赞,02月01日 22:50nova5Pro人像超级夜景
校书侍兰,普通用户,安徽,#华南海鲜市场存在大量新冠病毒##最新疫情地图#买家更可恨 O华南海鲜市场存在大量新冠病毒，你觉得买家和卖家哪个更可恨？ ?,收藏转发评论赞,02月01日 22:52HUAWEI Mate 20
笑揽风云动2012,普通用户,湖北 武汉,武汉新冠，封城断路，一级响应，春假延长；美伊交恶，政府辞职，科比坠机，英国脱欧。 ?,收藏转发评论赞1,02月01日 22:26荣耀7C 人脸识别双摄
邪羊本尊,黄V,黑龙江 牡丹江,这个要注意了！#腾讯新闻# 新冠病毒多地出现“两阴后变阳”病例，专家称临床不应轻易排除O新冠病毒多地出现“两阴后变阳”病例，专家称临床不应轻易排除 来自@腾讯新闻 ?,收藏转发评论赞,02月01日 22:39腾讯新闻客户端
写手清龙,普通用户,山东 淄博,分享网易新闻《深圳确诊患者粪便检测出新冠病毒:粪便中或存活病毒》O深圳市三院:部分确诊患者粪便中检测出新型冠状病毒 来自@网易新闻客户端 #网易新闻# ?,收藏转发评论赞,02月01日 22:57网易新闻客户端
谢流石,黄V,上海,《实锤！新冠肺炎12月中旬已出现人传人，谁在瞒报？》该论文还显示，2020年1月1日-1月11日之间，已有7位医务人员感染发病；1月11日-1月22日又有8位医务人员感染发病。O网页链接 ?,收藏转发 17评论 1赞14,02月01日 22:23iPhone 7 Plus
心理门诊李卫晖,普通用户,湖南 长沙,新型肺炎心理讲堂：新冠来袭 压力山大怎么办？（精彩回放）  O新型肺炎心理讲堂：新冠来袭 压力山大怎么办？（精彩回放） ?,收藏转发 1评论 32赞1,02月01日 22:33微博 weibo.com
欣橱恋歌,普通用户,湖南 湘潭,在家闲着没事的捐点款，帮助疫情早点过去吧开户名：北京韩红爱心慈善基金会开户行：中国农业银行北京中关村分行营业部账号：1125 0801 0400 18002开户名：北京韩红爱心慈善基金会 开户行：招商银行北京东三环支行账号：1109 3828 9010 508 2湘乡市 ?,收藏转发 1评论 2赞1,02月01日 22:57iPhone客户端
欣心语-,普通用户,江西,#凤凰新闻#分享凤凰新闻：重磅！美国首例新冠病毒确诊病例康复全记录 O重磅！美国首例新冠病毒确诊病例康复全记录 来自@凤凰新闻客户端 O网页链接 O重磅！美国首例新冠病毒确诊病例康复全记录 ?,收藏转发评论赞,02月01日 22:32凤凰新闻
新安晚报,蓝V,None,【近期有关新冠肺炎，你一定要知道的事！】双黄连口服液不需要抢！暂时没有治疗预防的专门药物！不要戴口罩去跳广场舞！新冠肺炎治愈后还有可能二次感染风险！开空调取暖器不能杀病毒！武汉来的快件不用拒收…近期有关新冠肺炎，你一定要知道的事！转发收藏！@中国新闻网 O宠物会传播新型冠状病毒吗？出门晒太阳能否杀死新型冠状病毒？答案来了！ ?,收藏转发 7评论赞5,02月01日 22:52微博 weibo.com
